permit_number,permit_type,street_number,street_name,street_suffix,description,current_status,filed_date,issued_date,completed_date,permit_expiration_date,estimated_cost,revised_cost,existing_use,proposed_use,proposed_construction_type_description,neighborhoods_boundaries,zipcode,record_id,city,state,changed_use,estimated_revised_diff,issued_year,issued_month,completed_year,completed_month,issued_completed_days,issued_completed_years,filed_issued_days,issued_expiration_days
201208207754,additions alterations or repairs,160,Russ,St,"change of use. convert ground floor from auto repair shop to residential unit + artist activitives. convert 2nd floor from business to a res'd unit. private roof deck, alterlation + renovation to (e) interior + exterior. structural, mep based on architectural scope of work.",complete,2012-08-20,2014-02-25,2018-02-01,2017-02-09,675000,853131.09,office,2 family dwelling,constr_type_3,South of Market,94103,1280012165391,San Francisco,CA,TRUE,178131.08999999997,2014,Feb,2018,Feb,1437,4,554,1080
201208207754,additions alterations or repairs,164,Russ,St,"change of use. convert ground floor from auto repair shop to residential unit + artist activitives. convert 2nd floor from business to a res'd unit. private roof deck, alterlation + renovation to (e) interior + exterior. structural, mep based on architectural scope of work.",complete,2012-08-20,2014-02-25,2018-02-01,2017-02-09,675000,853131.09,office,2 family dwelling,constr_type_3,South of Market,94103,1280013370793,San Francisco,CA,TRUE,178131.08999999997,2014,Feb,2018,Feb,1437,4,554,1080
201607152511,additions alterations or repairs,780,Brannan,St,"change of use from auto repair to lab. convert 9,700 sq ft of (e) area as permitted under sect 890.52 of the planning code. const. includes new walls, casework, ceiling & finishes w/associated mep scope, scope also includes access compliance",complete,2016-07-15,2016-11-02,2017-10-05,2019-10-18,673500,1000000,auto repairs,clinics-medic/dental,wood_frame_5,South of Market,94103,1430254493716,San Francisco,CA,TRUE,326500,2016,Nov,2017,Oct,337,1,110,1080
201007015845,additions alterations or repairs,500,Capp,St,renovate of exist 3-story single family home incl new foundation & completion of partial basement. work also incl construct of a new 2nd dwelling unit at the rear yard.,complete,2010-07-01,2012-02-17,2015-12-03,2015-02-01,661376.25,661376.25,1 family dwelling,office,wood_frame_5,Mission,94110,1210929161920,San Francisco,CA,TRUE,0,2012,Feb,2015,Dec,1385,3,596,1080
200601263121,additions alterations or repairs,1735,Webster,St,"merge 2 condo into single family residence. infill below the exist 2/fl deck. remodel at interior, add trellis/windscreen at 3/flr deck. remove exist rear yard stair & construct new rear yard stair, remove exist stair at rear of house connect 2nd&3rd floor.replace w/ spiral stair connect all floors.",complete,2006-01-26,2007-06-04,2009-03-09,2009-06-04,650000,650000,2 family dwelling,1 family dwelling,wood_frame_5,Pacific Heights,94115,104202478612,San Francisco,CA,TRUE,0,2007,Jun,2009,Mar,644,2,494,731
200601263121,additions alterations or repairs,1737,Webster,St,"merge 2 condo into single family residence. infill below the exist 2/fl deck. remodel at interior, add trellis/windscreen at 3/flr deck. remove exist rear yard stair & construct new rear yard stair, remove exist stair at rear of house connect 2nd&3rd floor.replace w/ spiral stair connect all floors.",complete,2006-01-26,2007-06-04,2009-03-09,2009-06-04,650000,650000,2 family dwelling,1 family dwelling,wood_frame_5,Pacific Heights,94115,104202578613,San Francisco,CA,TRUE,0,2007,Jun,2009,Mar,644,2,494,731
200805202523,additions alterations or repairs,1621,Irving,St,"horizontal & vertical addition 3 unit condominum, reise (e) bldg, add 2 feet all existing floor to remain the same, add 1 commercial  unit @ ground level and basement, add 4 car parking system . 2nd floor expansion, remodel (e) unit .",complete,2008-05-20,2009-09-14,2012-02-06,2012-08-29,650000,721740,1 family dwelling,apartments,wood_frame_5,Inner Sunset,94122,1136528113535,San Francisco,CA,TRUE,71740,2009,Sep,2012,Feb,875,3,482,1080
201208278287,additions alterations or repairs,1335,Sutter,St,"change of use from b to e occupancy.  interior tenant improvements including minimal demo, new stairs, & partition changes to accomodate preschool program. no changes to historic facades.",complete,2012-08-27,2014-01-16,2014-11-17,2016-12-31,650000,1750000,office,school,constr_type_3,Western Addition,94109,128071179576,San Francisco,CA,TRUE,1100000,2014,Jan,2014,Nov,305,0,507,1080
201302281188,otc alterations permit,557,Howard,St,"tenant improvement of existing office /retail for corp offices & restaurant. new elect, lighting, add/upgrade restrooms, lower floor (@ howard st 896 s.f.), new storefront, new stairs, new windows.",complete,2013-02-28,2013-05-16,2013-10-24,2016-04-30,650000,1270691,retail sales,food/beverage hndlng,constr_type_3,Financial District/South Beach,94105,1297431165644,San Francisco,CA,TRUE,620691,2013,May,2013,Oct,161,0,77,1080
201403070172,additions alterations or repairs,229,Haight,St,fire sprinkler work associated with building remodel under pa#201308305692.,complete,2014-03-07,2015-01-09,2016-03-24,2017-12-24,650000,650000,office,apartments,wood_frame_5,Hayes Valley,94102,1334736490816,San Francisco,CA,TRUE,0,2015,Jan,2016,Mar,440,1,308,1080
201405236581,additions alterations or repairs,1236,Arguello,Blvd,"vertical & horizontal additions to existing single family bldg, to create 3 family bldg. new window and doors and build systems.",complete,2014-05-23,2016-04-01,2018-03-23,2019-03-17,650000,650000,1 family dwelling,apartments,wood_frame_5,Inner Sunset,94117,134308494346,San Francisco,CA,TRUE,0,2016,Apr,2018,Mar,721,2,679,1080
201612054156,otc alterations permit,925,Market,St,"interior improvements for new restaurant t.i. ""the melt"" cbc 303.1.2 to include mep at g/f & basement.",complete,2016-12-05,2017-06-02,2017-08-23,2020-05-17,650000,650000,retail sales,food/beverage hndlng,wood_frame_5,South of Market,94103,1446337164412,San Francisco,CA,TRUE,0,2017,Jun,2017,Aug,82,0,179,1080
9222099,additions alterations or repairs,533,2nd,St,vertical addition,complete,1992-12-24,1993-04-14,1995-05-05,1995-04-14,650000,733000,retail sales,apartments,constr_type_4,Financial District/South Beach,94107,785071360678,San Francisco,CA,TRUE,83000,1993,Apr,1995,May,751,2,111,730
201210313223,otc alterations permit,1663,Market,St,"interior t.i.:construct non load bearing partitions, doors, finishes and associated electrical/data wiring and lighting, hvac and  plumbing modifications to create a dedicated space for employees and volunteers that provide emergency services to the community. there is no structural work,",complete,2012-10-31,2012-11-02,2013-09-06,2015-10-18,642000,642000,retail sales,office,constr_type_3,Mission,94103,1287246453608,San Francisco,CA,TRUE,0,2012,Nov,2013,Sep,308,1,2,1080
201406279910,otc alterations permit,2559,Van Ness,Av,"work to convert new space to work out gym includes new ada showers, restrooms, mep",complete,2014-06-27,2014-07-29,2015-06-17,2017-07-13,630000,630000,1 family dwelling,health studios & gym,constr_type_1,Marina,94123,1347175489752,San Francisco,CA,TRUE,0,2014,Jul,2015,Jun,323,1,32,1080
201410068151,otc alterations permit,101,Townsend,St,"3rd flr: t.i. includes the build out of the 3rd flr with non-structural partitions, ceiling, lighting & finishes. mep included (bldg not sprinklered); bldg not sprinklered. life safety under separate permit. change use under ap#2015.0505.5374. maher n/a",complete,2014-10-06,2015-07-10,2016-02-23,2018-06-24,630000,1140000,manufacturing,office,constr_type_2,Mission Bay,94107,1357901167872,San Francisco,CA,TRUE,510000,2015,Jul,2016,Feb,228,1,277,1080
201410068155,otc alterations permit,101,Townsend,St,"2nd floor - t.i. includes building out with non-structural partitions, ceiling, lighting and finishes. mep included. life safety under separate permit. change of use under ap# 2015-0505-5374. maher n/a.",complete,2014-10-06,2015-07-10,2016-02-23,2018-06-24,630000,1140000,manufacturing,office,constr_type_2,Mission Bay,94107,1357904167872,San Francisco,CA,TRUE,510000,2015,Jul,2016,Feb,228,1,277,1080
201504214160,otc alterations permit,101,Townsend,St,"1/f t.i. include build out of the 1st flr w/non-structural partitions. mep, electrical & plumbing included. life safety work under separate permit. (bldg not sprinkelered). change use under ap# 201505055374. n/a maher.",complete,2015-04-21,2015-07-23,2016-04-27,2018-07-07,629590,900000,manufacturing,office,constr_type_2,Mission Bay,94107,1378748167872,San Francisco,CA,TRUE,270410,2015,Jul,2016,Apr,279,1,93,1080
201504214165,otc alterations permit,101,Townsend,St,"basement t.i. includes building out of basement level with non-structural partitions, mep included (building not sprinklered); change of use under ap# 2015.0505.5374. maher n/a",complete,2015-04-21,2015-07-10,2016-04-12,2018-06-24,629590,1090000,manufacturing,office,constr_type_2,Mission Bay,94107,1378755167872,San Francisco,CA,TRUE,460410,2015,Jul,2016,Apr,277,1,80,1080
201108081965,otc alterations permit,3981,Alemany,Blvd,"change of occupancy from retail to bank (chase)new interior atm, non struc partitions, clgs, soffits, finishes, furniture and related hvac, elec and plbg. work at ground floor",complete,2011-08-08,2011-09-06,2011-11-28,2014-08-21,625000,625000,retail sales,prkng garage/public,constr_type_1,Oceanview/Merced/Ingleside,94132,1248710387970,San Francisco,CA,TRUE,0,2011,Sep,2011,Nov,83,0,29,1080
201211164368,additions alterations or repairs,3228,Sacramento,St,"ti-new restaurant.incl interior & exterior to grd fl commercial space with no expansion of exist bldg envelope. kitchen, office space & storage spaces also incl. change of occupancy from m to a-2",complete,2012-11-16,2013-03-18,2013-10-23,2016-03-02,625000,625000,retail sales,food/beverage hndlng,wood_frame_5,Presidio Heights,94115,128870086897,San Francisco,CA,TRUE,0,2013,Mar,2013,Oct,219,0,122,1080
201806152013,additions alterations or repairs,438,Treat,Av,"interior renovation of approximately 1400 sf consisting of converting existing kitchen a food application reasearch kitch lab, combine (e)rooms and converting them to food processing research lab on the 1st fl e 2 story building. renovations include code compliance renovation of e entry doors",complete,2018-06-15,2018-11-28,2020-02-21,2021-11-12,625000,625000,"warehouse, furniture",clinics-medic/dental,constr_type_3,Mission,94110,1512142159273,San Francisco,CA,TRUE,0,2018,Nov,2020,Feb,450,2,166,1080
201706129057,otc alterations permit,585,Buckingham,Wy,"remodel of 3 seperate store front suites to 1 4935 sq.ft. first floor suite inside a 128,064 sq.ft. five story medical office bld. maher na",complete,2017-06-12,2017-10-27,2018-08-14,2020-10-11,601724,601724,office,clinics-medic/dental,constr_type_2,Lakeshore,94132,1466529473268,San Francisco,CA,TRUE,0,2017,Oct,2018,Aug,291,1,137,1080
200510266602,additions alterations or repairs,166,29th,St,new (2) story addition over (e) two sotry. new (4) story addition in rear of (e) bldg.,complete,2005-10-26,2007-09-05,2009-04-06,2009-09-05,600000,800000,1 family dwelling,apartments,wood_frame_5,Noe Valley,94110,1033614209307,San Francisco,CA,TRUE,200000,2007,Sep,2009,Apr,579,2,679,731
200607186891,additions alterations or repairs,976,Elizabeth,St,"(e) single family dwelling to be renovated, expanded and converted into two (2) family dwelling units. current building foundation to be reinforced and the footprint is to extend 3' to the front and 8' to the rear. vertical addition",complete,2006-07-18,2007-09-18,2008-09-11,2009-09-18,600000,600000,1 family dwelling,2 family dwelling,wood_frame_5,Noe Valley,94114,1060170144805,San Francisco,CA,TRUE,0,2007,Sep,2008,Sep,359,1,427,731
200802064209,additions alterations or repairs,451,34th,Av,to convert a 2 story single family residential bldg into a 4-story 2 residential units bldg by vertical and horizontal additions to the existing bldg.,complete,2008-02-06,2011-11-09,2013-01-24,2014-10-24,600000,928000,1 family dwelling,2 family dwelling,wood_frame_5,Outer Richmond,94121,1124726100910,San Francisco,CA,TRUE,328000,2011,Nov,2013,Jan,442,2,1372,1080
200905077950,additions alterations or repairs,36,Pleasant,St,"addition of 2 new floors, 2 onsite parking spaces, conversion of residential duplex into residential triplex. no horizontal extension. addition of roof decks. kitchen/bath remodel at existing 2nd and 3rd floors. addition of elevator.",complete,2009-05-07,2012-03-30,2014-01-13,2015-03-15,600000,600000,2 family dwelling,apartments,wood_frame_5,Nob Hill,94108,1172786385289,San Francisco,CA,TRUE,0,2012,Mar,2014,Jan,654,2,1058,1080
200905077950,additions alterations or repairs,34,Pleasant,St,"addition of 2 new floors, 2 onsite parking spaces, conversion of residential duplex into residential triplex. no horizontal extension. addition of roof decks. kitchen/bath remodel at existing 2nd and 3rd floors. addition of elevator.",complete,2009-05-07,2012-03-30,2014-01-13,2015-03-15,600000,600000,2 family dwelling,apartments,wood_frame_5,Nob Hill,94108,117278962874,San Francisco,CA,TRUE,0,2012,Mar,2014,Jan,654,2,1058,1080
201012297585,additions alterations or repairs,777,Valencia,St,"tenant improvement for restaurant, bar establishment, jazz club includes kitchen, bathrooms, mezzanine on 1st floor.",complete,2010-12-29,2011-07-20,2013-07-05,2014-07-04,600000,1020865,school,food/beverage hndlng,wood_frame_5,Mission,94110,1226935160557,San Francisco,CA,TRUE,420865,2011,Jul,2013,Jul,716,2,203,1080
201102109981,otc alterations permit,303,2nd,St,convert 3600 sq ft of (e) parking level into ocnditioned retail space.exterior storefronts under separate permit core and shell work only retail tenant under separate permit,complete,2011-02-10,2011-03-02,2012-03-15,2014-02-14,600000,600000,prkng garage/public,retail sales,constr_type_1,Financial District/South Beach,94105,1230050370118,San Francisco,CA,TRUE,0,2011,Mar,2012,Mar,379,1,20,1080
201104194374,additions alterations or repairs,639,Natoma,St,to comply with his (n.o.v #200903482) on 04/27/09.propose horizontal & vertical addition to (e) two units building to accommodte three units and three car garage.,complete,2011-04-19,2012-05-01,2015-02-18,2015-04-16,600000,600000,2 family dwelling,apartments,wood_frame_5,South of Market,94103,1235899165002,San Francisco,CA,TRUE,0,2012,May,2015,Feb,1023,3,378,1080
201106158156,additions alterations or repairs,5499,California,St,demolish a portion of (e) building & alter remaining portion. building code: remove 1 residential unit & relocate 1 (e) above (e) commercial. planning code: remove 2 residential units (per section 317) & add 1 new dwelling on top of (e) commercial as approved by planning commision. cu motion#18287.,complete,2011-06-15,2011-10-03,2012-09-18,2014-09-17,600000,600000,2 family dwelling,1 family dwelling,wood_frame_5,Outer Richmond,94118,1241019381785,San Francisco,CA,TRUE,0,2011,Oct,2012,Sep,351,1,110,1080
201106158156,additions alterations or repairs,208,17th,Av,demolish a portion of (e) building & alter remaining portion. building code: remove 1 residential unit & relocate 1 (e) above (e) commercial. planning code: remove 2 residential units (per section 317) & add 1 new dwelling on top of (e) commercial as approved by planning commision. cu motion#18287.,complete,2011-06-15,2011-10-03,2012-09-18,2014-09-17,600000,600000,2 family dwelling,1 family dwelling,wood_frame_5,Outer Richmond,94118,1241020475565,San Francisco,CA,TRUE,0,2011,Oct,2012,Sep,351,1,110,1080
201310189678,otc alterations permit,834,Broderick,St,"complete interior renovation of all floors. new roof deck within extg envelope (massing reduction) new  exterior egress stair.sprinklers, fire alarm separate permits.  compliance with ord #155-13 not required.",complete,2013-10-18,2014-01-08,2015-07-28,2016-12-23,600000,1000000,2 family dwelling,apartments,wood_frame_5,Western Addition,94115,132132890840,San Francisco,CA,TRUE,400000,2014,Jan,2015,Jul,566,1,82,1080
201310189678,otc alterations permit,840,Broderick,St,"complete interior renovation of all floors. new roof deck within extg envelope (massing reduction) new  exterior egress stair.sprinklers, fire alarm separate permits.  compliance with ord #155-13 not required.",complete,2013-10-18,2014-01-08,2015-07-28,2016-12-23,600000,1000000,2 family dwelling,apartments,wood_frame_5,Western Addition,94115,1321329351261,San Francisco,CA,TRUE,400000,2014,Jan,2015,Jul,566,1,82,1080
201407171496,additions alterations or repairs,601,19th,St,"construct new event space, restaurant & non formula retail. construct nre roof top garden with new skylight. build (2) interior stairs & new elevator. extend all 3 to roof. expand (e) entrances. add new windows. compliance w/ordiance no.155-13 not required.",complete,2014-07-17,2015-05-07,2017-10-04,2018-04-21,600000,1869262,manufacturing,food/beverage hndlng,constr_type_3,Potrero Hill,94107,1349219169245,San Francisco,CA,TRUE,1269262,2015,May,2017,Oct,881,2,294,1080
201503261978,otc alterations permit,360,3rd,St,"wine bar/cafe new non stuctural partitions, hvac, electrical, plmg, millwork, ceilings electric stove.  store front change. not visible from street (level below). n/a for the maher. ref app#201406118133",complete,2015-03-26,2015-05-15,2015-06-29,2018-04-29,600000,600000,office,food/beverage hndlng,constr_type_1,South of Market,94107,1375754488748,San Francisco,CA,TRUE,0,2015,May,2015,Jun,45,0,50,1080
201504284827,additions alterations or repairs,2111,Harrison,St,"ti for new market. change of use. interior only-(n) interior partitions, commercial kitchen, (n) electrical, plumbing, mech,lighting & refrigeration. demolition & exterior filed under separate permit.",complete,2015-04-28,2015-07-24,2015-11-17,2018-07-08,600000,1290000,office,retail sales,constr_type_3,Mission,94110,1379623503028,San Francisco,CA,TRUE,690000,2015,Jul,2015,Nov,116,0,87,1080
201507131253,additions alterations or repairs,1331,San Bruno,Av,"horizontal & vertical addition. replace foundation, bring front & rear facades level, more front steps. change windows & doors. add 3rd story @ back at the house. add decks in back 2nd story & front 3rd story. add bathroom 3rd story.",complete,2015-07-13,2016-08-08,2019-02-22,2019-07-24,600000,600000,1 family dwelling,2 family dwelling,wood_frame_5,Mission,94110,1388141172644,San Francisco,CA,TRUE,0,2016,Aug,2019,Feb,928,3,392,1080
201507313053,additions alterations or repairs,1230,21st,Av,"horizonal addition at rear yard. (e) 3-story single family house - convert to 2-unit residential 3-story rear yard addition, (2) roof decks at (e) unit. renovate kitchen & bath, add full bath & 1/2 bath. add (n) bedroom @ (n) unit. (n) kitchen, (2)(n) full bath, (1)(n) 1/2 bath.",complete,2015-07-31,2016-12-21,2019-01-14,2019-12-06,600000,600000,1 family dwelling,2 family dwelling,wood_frame_5,Sunset/Parkside,94122,1390477112002,San Francisco,CA,TRUE,0,2016,Dec,2019,Jan,754,3,509,1080
201605207962,otc alterations permit,1275,Market,St,addition of acoustic treatment inside the cinema ref pa 2015-0605-8287 (s3),complete,2016-05-20,2016-06-06,2017-05-03,2019-05-22,600000,600000,office,theater,constr_type_1,South of Market,94103,1423945458145,San Francisco,CA,TRUE,0,2016,Jun,2017,May,331,1,17,1080
201609147642,additions alterations or repairs,3431,Taraval,St,"renov(e)1st story of a type 5 bldg.upgrade(e)foundation to support 1 new story add above(e)1st story.install a new elevator,an auto.sprinklr sym,(n)stair/intr parti/acoustical ceilings/lighting access.restrms, upgrade(e)pwr distribution/plumb/mech sym(n)roof/roof deck (n)flring,windows,drs&storefrt",complete,2016-09-14,2017-05-17,2019-08-29,2020-05-01,600000,600000,dry cleaners,clinics-medic/dental,wood_frame_5,Sunset/Parkside,94116,1437311133563,San Francisco,CA,TRUE,0,2017,May,2019,Aug,834,2,245,1080
201706139268,additions alterations or repairs,661,Page,St,"add unit at basement lvl & 1st flr, pvt roof deck w/no stair penthouse. new skylights, int remodel of flr plans @ (e) 2 units. eliminate wood stair, fully sprinklered bldg nfpa-13r under separate, seismic upgrade,1-hr fire rated upgraded wall assemblies. add 1-1/2 baths on unit 2 & 3.",complete,2017-06-13,2018-01-02,2019-05-16,2020-12-17,600000,800000,2 family dwelling,apartments,wood_frame_5,Hayes Valley,94117,146680283051,San Francisco,CA,TRUE,200000,2018,Jan,2019,May,499,1,203,1080
201706139268,additions alterations or repairs,663,Page,St,"add unit at basement lvl & 1st flr, pvt roof deck w/no stair penthouse. new skylights, int remodel of flr plans @ (e) 2 units. eliminate wood stair, fully sprinklered bldg nfpa-13r under separate, seismic upgrade,1-hr fire rated upgraded wall assemblies. add 1-1/2 baths on unit 2 & 3.",complete,2017-06-13,2018-01-02,2019-05-16,2020-12-17,600000,800000,2 family dwelling,apartments,wood_frame_5,Hayes Valley,94117,1466803451385,San Francisco,CA,TRUE,200000,2018,Jan,2019,May,499,1,203,1080
201708013474,otc alterations permit,510,Townsend,St,"3/f- interior t.i. of warm shell space, construction to include new partitions, finishes, lighting and equipment. fire protection under seperate permit. new bldg. pa#201503050110. n/a ordinance #155-13",complete,2017-08-01,2017-08-10,2019-09-10,2020-07-25,600000,2000000,vacant lot,office,constr_type_1,South of Market,94103,1472732369644,San Francisco,CA,TRUE,1400000,2017,Aug,2019,Sep,761,2,9,1080
201708033839,otc alterations permit,510,Townsend,St,"4th fl: interior t.i. of warm shell space, construction to include new partitions, finishes, lighting and equipment. fire protection under separate permit. new bldg. pa#201503050110. n/a ordinance #155-13",complete,2017-08-03,2017-08-11,2019-09-11,2020-07-26,600000,2000000,vacant lot,office,constr_type_1,South of Market,94103,1473254369644,San Francisco,CA,TRUE,1400000,2017,Aug,2019,Sep,761,2,8,1080
201708033842,otc alterations permit,510,Townsend,St,"5th fl: interior t.i. of warm shell space, construction to include new partitions, finishes, lighting and equipment. fire protection under separate permit. new bldg. pa#201503050110. n/a ordinance #155-13",complete,2017-08-03,2017-08-16,2019-09-11,2020-07-31,600000,2000000,vacant lot,office,constr_type_1,South of Market,94103,1473258369644,San Francisco,CA,TRUE,1400000,2017,Aug,2019,Sep,756,2,13,1080
9704818,additions alterations or repairs,3550,Mission,St,alteration of existing gas station,complete,1997-03-14,1998-04-20,1998-11-03,2000-04-20,600000,605000,filling/service stn,food/beverage hndlng,wood_frame_5,Bernal Heights,94110,612516210290,San Francisco,CA,TRUE,5000,1998,Apr,1998,Nov,197,0,402,731
20000111784,additions alterations or repairs,295,Bay,St,"change theatre to ofice on ground floor, ground floor to become two levels, 2nd & 3rd office use",complete,2000-01-11,2000-03-06,2001-06-05,2002-03-06,600000,600000,theater,office,constr_type_1,North Beach,94133,762259291600,San Francisco,CA,TRUE,0,2000,Mar,2001,Jun,456,1,55,730
20000111784,additions alterations or repairs,299,Bay,St,"change theatre to ofice on ground floor, ground floor to become two levels, 2nd & 3rd office use",complete,2000-01-11,2000-03-06,2001-06-05,2002-03-06,600000,600000,theater,office,constr_type_1,North Beach,94133,762260347039,San Francisco,CA,TRUE,0,2000,Mar,2001,Jun,456,1,55,730
200007124905,additions alterations or repairs,260,Golden Gate,Av,"construct bedrooms, bathrooms,electrical,hyac,plumbing,kitchen.",complete,2000-07-12,2000-09-18,2001-09-14,2002-09-18,590000,590000,office,apartments,constr_type_2,Tenderloin,94102,823679376791,San Francisco,CA,TRUE,0,2000,Sep,2001,Sep,361,1,68,730
201704174154,otc alterations permit,1,Market,St,"g/f- cafe at ground fl. new interior partitions, doors, interior glazing, gyp. bd. and acoustic ceilings for restaurant a-2 use at g/f. mep, fire sprinkler and fire alarm under seperate permit. n/a ordinance #155-13  communicating openings between lot 6 and lot 7 ref pa 201705015330. maher na",complete,2017-04-17,2017-07-20,2018-04-30,2020-07-04,587525,587525,office,food/beverage hndlng,constr_type_1,Financial District/South Beach,94105,1467366164604,San Francisco,CA,TRUE,0,2017,Jul,2018,Apr,284,1,94,1080
200805142042,additions alterations or repairs,1700,Fillmore,St,"tenant improvement in (e) shell-full service restaurant. new handicap entry (per ada requirements), bar with counters, shelves and sink. 2 handicap bathrooms, new kitchen with type 1 hood",complete,2008-05-14,2008-07-03,2008-12-22,2010-07-03,580000,580000,retail sales,food/beverage hndlng,constr_type_3,Japantown,94115,113584879145,San Francisco,CA,TRUE,0,2008,Jul,2008,Dec,172,0,50,730
201103101803,otc alterations permit,101,Spear,St,"4th floor-demolition of (e) non structural partitions & ceiling, new interior construction including partitions, millwork, plumbing, doors, hard lid, finished ceiling, lighting & finishes. mechanical, electrical & plumbing under separate permit. change of use from offices to classrooms.",complete,2011-03-10,2011-04-21,2012-02-08,2014-04-05,575000,575000,office,school,constr_type_1,Financial District/South Beach,94105,1235541164629,San Francisco,CA,TRUE,0,2011,Apr,2012,Feb,293,1,42,1080
201805108774,additions alterations or repairs,655,Montgomery,St,ground floor. t.i. for new general office. new restrooms & janitor closet. m.e.p & fire life safety done under separate permit (deferred).** maher: n/a **,complete,2018-05-10,2018-11-13,2020-01-17,2021-10-28,574059,574059,retail sales,office,constr_type_1,Chinatown,94111,150761362300,San Francisco,CA,TRUE,0,2018,Nov,2020,Jan,430,2,187,1080
201403191148,otc alterations permit,564,Market,St,"t.i. for new coffee cafe. work includes new partitions, fixtures, finishes, equipment mep. no exterior work. fire protection under seperate permit.",complete,2014-03-19,2014-04-08,2015-10-20,2017-03-23,573000,573000,retail sales,food/beverage hndlng,constr_type_3,Financial District/South Beach,94104,1335945359415,San Francisco,CA,TRUE,0,2014,Apr,2015,Oct,560,1,20,1080
201404153303,additions alterations or repairs,100,California,St,"interior remodel of portion of basemt,main & 2/f in an(e)15 story bldg. basemt:conversion of 166sf(e)office to fitness & remodel of 3266 sq ft (e)fitness space.includes hvac upgrade/lighting replacement/finishes. main floor: replace flooring. 2nd  floor:add office rm/new ceiling/lighting/",complete,2014-04-15,2014-06-20,2015-01-08,2017-06-04,571000,571000,office,health studios & gym,constr_type_1,Financial District/South Beach,94111,133873463367,San Francisco,CA,TRUE,0,2014,Jun,2015,Jan,202,1,66,1080
201203135987,additions alterations or repairs,1200,4th,St,indicator piles for site permit #2012-0207-3728,complete,2012-03-13,2012-03-26,2015-09-09,2015-03-11,567000,567000,vacant lot,apartments,constr_type_3,Mission Bay,94158,1264739484790,San Francisco,CA,TRUE,0,2012,Mar,2015,Sep,1262,3,13,1080
200606133867,additions alterations or repairs,676,16th,Av,"extending to rear of yard by 14' - 4 1/2"" plus addition of 2 stories over (e) to create a new unit.",complete,2006-06-13,2008-10-06,2011-04-26,2011-09-21,560250,560250,1 family dwelling,2 family dwelling,wood_frame_5,Outer Richmond,94118,1056203107579,San Francisco,CA,TRUE,0,2008,Oct,2011,Apr,932,3,846,1080
200810164336,additions alterations or repairs,209,9th,St,"add 2 new floors to building, 3 new residential units. replace existing staircases and elevator. new sprinkler system throughtout.",complete,2008-10-16,2011-02-09,2012-07-02,2014-01-24,550000,1014657.9,retail sales,apartments,constr_type_3,South of Market,94103,1153637165232,San Francisco,CA,TRUE,464657.9,2011,Feb,2012,Jul,509,1,846,1080
201312184521,additions alterations or repairs,441,Sutter,St,"t.i of (e) structure consisting of new finishes throughout & upgrading plumbing, mechanical & electrical systems for proposed use & addition of an elevator for accessibility to all levels. existing storefront door to be removed and relocated",complete,2013-12-18,2014-08-13,2015-04-20,2017-07-28,550000,1224600,retail sales,food/beverage hndlng,wood_frame_5,Financial District/South Beach,94108,132751167150,San Francisco,CA,TRUE,674600,2014,Aug,2015,Apr,250,1,238,1080
201409307637,additions alterations or repairs,149,Fell,St,"change of use to a-2. tenant improvement for full service restaurant. work to include ada bathrooms, ada entries, new storefront windows, kitchen, bar seating area at ground floor and construction of apprx 525 sf storage mezzanine.n/a for maher ordinance.",complete,2014-09-30,2015-01-26,2016-10-26,2018-01-10,550000,550000,office,food/beverage hndlng,constr_type_3,Hayes Valley,94102,135722282623,San Francisco,CA,TRUE,0,2015,Jan,2016,Oct,639,1,118,1080
201710100775,otc alterations permit,2630,Mission,St,ti. change of use from retail to dental clinic. remodel of previously finished-out space within existing building. new finish-out to be used as dental care facility. modifications to the (e) conditions & extension of(e) utilities. install new elevator and shaft under separate permit# 2017-1010-0784.,complete,2017-10-10,2017-12-05,2018-05-29,2020-11-19,550000,700000,retail sales,clinics-medic/dental,wood_frame_5,Mission,94110,1482717163317,San Francisco,CA,TRUE,150000,2017,Dec,2018,May,175,1,56,1080
201710161348,otc alterations permit,855,Brannan,St,"1/f #b3- 1st time t.i. for new restaurant in a new construction bldg. work to include new partitions, counter seating, take out window, walk-in refrig., storage area, commercial kitchen, title 24, mechanical. signage under separate permit. n/a ordinance #155-13",complete,2017-10-16,2018-03-29,2018-10-26,2021-03-13,550000,600000,vacant lot,food/beverage hndlng,constr_type_1,South of Market,94103,1483514504576,San Francisco,CA,TRUE,50000,2018,Mar,2018,Oct,211,0,164,1080
201803153757,otc alterations permit,450,Bryant,St,"general renovation of finishes, lighting addition of new reception and seating staircase between 1"" and 2nd fllor - mep defered  maher na. assembly & storage area under separate permit.",complete,2018-03-15,2018-04-04,2018-10-10,2021-03-19,550000,765000,school,office,constr_type_3,Financial District/South Beach,94107,1500594361797,San Francisco,CA,TRUE,215000,2018,Apr,2018,Oct,189,0,20,1080
9807421S,additions alterations or repairs,419,Fulton,St,horizontal addition,complete,1998-04-28,1999-08-05,2000-11-17,2001-08-05,550000,820000,"warehouse,no frnitur",apartments,wood_frame_5,Hayes Valley,94102,66651781746,San Francisco,CA,TRUE,270000,1999,Aug,2000,Nov,470,1,464,731
